P-1	1207.138394
P-10	450.6066117
P-100	1187.812032
P-101	1093.434242
P-102	1428.431513
P-103	1271.740626
P-104	480.2694571
P-105	1307.199199
P-106	480.2694571
P-107	1307.199199
P-108	1394.222302
P-109	1271.740626
P-11	1271.740626
P-110	1320.312277
P-111	1271.740626
P-112	1184.597169
P-113	1320.312277
P-114	480.2694571
P-115	1394.222302
P-116	1271.740626
P-117	480.2694571
P-118	1232.765816
P-119	480.2694571
P-12	1207.138394
P-120	1271.740626
P-121	1271.740626
P-122	1271.740626
P-123	1320.312277
P-124	1187.812032
P-125	1271.740626
P-126	1307.199199
P-127	1271.740626
P-128	1271.740626
P-129	1345.924605
P-13	1271.740626
P-130	1271.740626
P-131	1417.809951
P-132	1271.740626
P-133	1320.312277
P-134	1271.740626
P-135	1271.740626
P-136	1307.199199
P-137	1417.809951
P-138	1307.199199
P-139	1271.740626
P-14	1271.740626
P-140	1320.312277
P-141	1320.312277
P-142	1187.812032
P-143	1307.199199
P-144	1320.312277
P-145	1307.199199
P-146	1271.740626
P-147	1271.740626
P-148	1271.740626
P-149	1307.199199
P-15	1234.261413
P-150	1232.765816
P-151	1394.222302
P-152	1271.740626
P-153	480.2694571
P-154	480.2694571
P-155	1307.199199
P-156	1149.191428
P-157	480.2694571
P-158	1307.199199
P-159	480.2694571
P-16	1307.199199
P-160	1271.740626
P-161	1163.180983
P-162	1234.261413
P-163	1149.191428
P-164	480.2694571
P-165	1320.312277
P-166	1234.261413
P-167	1261.804319
P-168	1271.740626
P-169	1261.804319
P-17	1271.740626
P-170	1357.191984
P-171	1271.740626
P-172	480.2694571
P-173	1271.740626
P-174	1307.199199
P-175	1234.261413
P-176	1234.261413
P-177	1184.597169
P-178	1271.740626
P-179	1271.740626
P-18	1271.740626
P-180	1271.740626
P-181	1307.199199
P-182	1271.740626
P-183	1204.427472
P-184	1320.312277
P-185	1271.740626
P-186	1394.222302
P-187	1320.312277
P-188	1204.427472
P-189	1307.199199
P-19	1307.199199
P-190	1271.740626
P-191	1394.222302
P-192	1307.199199
P-193	450.6066117
P-194	1271.740626
P-195	1234.261413
P-196	1271.740626
P-197	1184.597169
P-198	450.6066117
P-199	1271.740626
P-2	1394.222302
P-20	1261.804319
P-200	1394.222302
P-201	1234.261413
P-202	1394.222302
P-203	480.2694571
P-204	1271.740626
P-205	1271.740626
P-206	1307.199199
P-207	1271.740626
P-208	1234.261413
P-209	1307.199199
P-21	1307.199199
P-210	1204.427472
P-211	1320.312277
P-212	1320.312277
P-213	1271.740626
P-214	1187.812032
P-215	1271.740626
P-216	1207.138394
P-217	1234.261413
P-218	1271.740626
P-219	1271.740626
P-22	1307.199199
P-220	554.7558216
P-221	1357.191984
P-222	1271.740626
P-223	1207.138394
P-224	1234.261413
P-225	1320.312277
P-226	1307.199199
P-227	1261.804319
P-228	1307.199199
P-229	1307.199199
P-23	1320.312277
P-230	1271.740626
P-231	1271.740626
P-232	1207.138394
P-233	1271.740626
P-234	1320.312277
P-235	1271.740626
P-236	1271.740626
P-237	1163.180983
P-238	1271.740626
P-239	1204.427472
P-24	1207.138394
P-240	1271.740626
P-241	1261.804319
P-242	1271.740626
P-243	1410.441478
P-244	1207.138394
P-245	1320.312277
P-246	1184.597169
P-247	1320.312277
P-248	1204.427472
P-249	1271.740626
P-25	1207.138394
P-250	1271.740626
P-251	1307.199199
P-252	1228.401775
P-253	1307.199199
P-254	1307.199199
P-255	1320.312277
P-256	1307.199199
P-257	1384.562209
P-258	1261.804319
P-259	1155.322706
P-26	450.6066117
P-260	1204.427472
P-261	1271.740626
P-262	1271.740626
P-263	1184.597169
P-264	1384.562209
P-265	1271.740626
P-266	1271.740626
P-267	1320.312277
P-268	1307.199199
P-269	1271.740626
P-27	480.2694571
P-270	1271.740626
P-271	1307.199199
P-272	1394.222302
P-273	1271.740626
P-274	450.6066117
P-275	1320.312277
P-276	1271.740626
P-277	1320.312277
P-278	1307.199199
P-279	1204.427472
P-28	1184.597169
P-280	1307.199199
P-281	1320.312277
P-282	1204.427472
P-283	1204.427472
P-284	480.2694571
P-285	1271.740626
P-286	1207.138394
P-287	1271.740626
P-288	1307.199199
P-289	1307.199199
P-29	1271.740626
P-290	1394.222302
P-291	1384.562209
P-292	1271.740626
P-293	1320.312277
P-294	1271.740626
P-295	1271.740626
P-296	1228.401775
P-297	1271.740626
P-298	1261.804319
P-299	1271.740626
P-3	480.2694571
P-30	450.6066117
P-300	1271.740626
P-301	1271.740626
P-302	1307.199199
P-303	1271.740626
P-304	1207.138394
P-305	1204.427472
P-306	1307.199199
P-307	1271.740626
P-308	1234.261413
P-309	1271.740626
P-31	1271.740626
P-310	1234.261413
P-311	480.2694571
P-312	450.6066117
P-313	1271.740626
P-314	1271.740626
P-315	1271.740626
P-316	1307.199199
P-317	1261.804319
P-318	1271.740626
P-319	1155.322706
P-32	1234.261413
P-320	1271.740626
P-321	1307.199199
P-322	480.2694571
P-323	1234.261413
P-324	1320.312277
P-325	1307.199199
P-326	1204.427472
P-327	1271.740626
P-328	1261.804319
P-329	1271.740626
P-33	1163.180983
P-330	1307.199199
P-331	1271.740626
P-332	1307.199199
P-333	1414.940858
P-334	1307.199199
P-335	1271.740626
P-336	1261.804319
P-337	1271.740626
P-338	1271.740626
P-339	1204.427472
P-34	1307.199199
P-340	1204.427472
P-341	1394.222302
P-342	1307.199199
P-343	1394.222302
P-344	1261.804319
P-345	1271.740626
P-346	1271.740626
P-347	1320.312277
P-348	1394.222302
P-349	480.2694571
P-35	1320.312277
P-350	1261.804319
P-351	1261.804319
P-352	1307.199199
P-353	1307.199199
P-354	480.2694571
P-355	1271.740626
P-356	1307.199199
P-357	480.2694571
P-358	1184.597169
P-359	1271.740626
P-36	1271.740626
P-360	1271.740626
P-361	1345.924605
P-362	1207.138394
P-363	1307.199199
P-364	1207.138394
P-365	1271.740626
P-366	1271.740626
P-367	1271.740626
P-368	1320.312277
P-369	1271.740626
P-37	1320.312277
P-370	450.6066117
P-371	1234.261413
P-372	480.2694571
P-373	1271.740626
P-374	1261.804319
P-375	1307.199199
P-376	480.2694571
P-377	1320.312277
P-378	1307.199199
P-379	1271.740626
P-38	1271.740626
P-380	1320.312277
P-381	1234.261413
P-382	1234.261413
P-383	322.0448566
P-384	450.6066117
P-385	1271.740626
P-386	1204.427472
P-387	1271.740626
P-388	1271.740626
P-389	1320.312277
P-39	450.6066117
P-390	1307.199199
P-391	1271.740626
P-392	480.2694571
P-393	1345.924605
P-394	1184.597169
P-395	1271.740626
P-396	1234.261413
P-397	1307.199199
P-398	1234.261413
P-399	1271.740626
P-4	1307.199199
P-40	480.2694571
P-400	1271.740626
P-401	1271.740626
P-402	1307.199199
P-403	1207.138394
P-404	1271.740626
P-405	1228.401775
P-406	1320.312277
P-407	1271.740626
P-408	1320.312277
P-409	1234.261413
P-41	1155.322706
P-410	480.2694571
P-411	1271.740626
P-412	1320.312277
P-413	1271.740626
P-414	1271.740626
P-415	1184.597169
P-416	1271.740626
P-417	1271.740626
P-418	1384.562209
P-419	1320.312277
P-42	1228.401775
P-420	450.6066117
P-421	1271.740626
P-422	1345.924605
P-423	1320.312277
P-424	1271.740626
P-425	480.2694571
P-426	1307.199199
P-427	1207.138394
P-428	1271.740626
P-429	1204.427472
P-43	1271.740626
P-430	1271.740626
P-431	1261.804319
P-432	1155.322706
P-433	1307.199199
P-434	1234.261413
P-435	1204.427472
P-436	1261.804319
P-437	1228.401775
P-438	1204.427472
P-439	1271.740626
P-44	1320.312277
P-440	1271.740626
P-441	1207.138394
P-442	1271.740626
P-443	480.2694571
P-444	1256.047736
P-445	1187.812032
P-446	1187.812032
P-447	1271.740626
P-448	554.7558216
P-449	1232.765816
P-45	1384.562209
P-450	480.2694571
P-451	1271.740626
P-452	1320.312277
P-453	1320.312277
P-454	1345.924605
P-455	1271.740626
P-456	1320.312277
P-457	1271.740626
P-458	1307.199199
P-459	480.2694571
P-46	1320.312277
P-460	1271.740626
P-461	1384.562209
P-462	1320.312277
P-463	1307.199199
P-464	626.0811118
P-465	1271.740626
P-466	1307.199199
P-467	1207.138394
P-468	480.2694571
P-469	1320.312277
P-47	1271.740626
P-470	480.2694571
P-471	1271.740626
P-472	1261.804319
P-473	1261.804319
P-474	1271.740626
P-475	1271.740626
P-476	1271.740626
P-477	1320.312277
P-478	1307.199199
P-479	1271.740626
P-48	1271.740626
P-480	1271.740626
P-481	1271.740626
P-482	1204.427472
P-483	1228.401775
P-484	1271.740626
P-485	1271.740626
P-486	1271.740626
P-487	1271.740626
P-488	1204.427472
P-489	1271.740626
P-49	1271.740626
P-490	450.6066117
P-491	480.2694571
P-492	1271.740626
P-493	1234.261413
P-494	1394.222302
P-495	1184.597169
P-496	1271.740626
P-497	1434.186237
P-498	1234.261413
P-499	1204.427472
P-5	1394.222302
P-50	1307.199199
P-500	1320.312277
P-501	480.2694571
P-502	1307.199199
P-503	1307.199199
P-504	1271.740626
P-505	480.2694571
P-506	1184.597169
P-507	1271.740626
P-508	1271.740626
P-509	450.6066117
P-51	1261.804319
P-510	1271.740626
P-511	1320.312277
P-512	1307.199199
P-513	1271.740626
P-514	1320.312277
P-515	1204.427472
P-516	1271.740626
P-517	1271.740626
P-518	1320.312277
P-519	1320.312277
P-52	1204.427472
P-520	1320.312277
P-521	1271.740626
P-522	1271.740626
P-523	1261.804319
P-524	1271.740626
P-525	1271.740626
P-526	1271.740626
P-527	1320.312277
P-528	1234.261413
